TestCase,Contact Id,Email address,Format,Confirmed,Tag
invalid mailing List id,1,test0001@g2tsolutions.com,html,yes,""
Already existing Email id,2,test0002@g2tsolutions.com,html,yes,""
Already existing Email id,3,test0002@g2tsolutions.com,html,yes,""
invalid field id,4,test0003@g2tsolutions.com,html,yes,""
Blank email,5,,html,yes,""
Blank mailing list,6,test0004@g2tsolutions.com,html,yes,""
Blank value on field,7,test0005@g2tsolutions.com,html,yes,""
Blank field id,8,test0006@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,9,test0009@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,10,test0010@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,12,test0012@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,13,test0013@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,14,test0014@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,15,test0015@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,16,test0016@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,17,test0017@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,18,test0018@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,19,test0019@g2tsolutions.com,html,yes,""
Bulk Contact With Single Invalid Contact,20,,html,yes,""
